Date,Rolling variance
2021-12-18,20329919.969114397
2021-12-19,20364111.129197415
2021-12-20,19271735.603496306
2021-12-21,17814491.02225056
2021-12-22,17247200.24402538
2021-12-23,15828340.677094612
2021-12-24,14845499.403504975
2021-12-25,13374115.291370504
2021-12-26,13066790.727013389
2021-12-27,12413784.48854603
2021-12-28,10955124.887441173
2021-12-29,9194484.122214207
2021-12-30,7455242.279288542
2021-12-31,5505286.515256222
2022-01-01,3546301.644336618
2022-01-02,2739304.1340301037
2022-01-03,2856775.251649854
2022-01-04,3027634.3165076333
2022-01-05,3557936.9724684656
2022-01-06,4077416.589587934
2022-01-07,5079161.348117212
2022-01-08,6186421.176207854
2022-01-09,7157703.892581819
2022-01-10,7892326.057997539
2022-01-11,8064402.518675374
2022-01-12,8303533.665756824
2022-01-13,8822449.723096969
2022-01-14,8946975.158838535
2022-01-15,9168855.416149013
2022-01-16,9457232.036206461
2022-01-17,9880339.612486804
2022-01-18,10236927.742525116
2022-01-19,10684983.944573332
2022-01-20,10995618.103532705
2022-01-21,13069504.53422046
2022-01-22,14852230.797952585
2022-01-23,15347469.34752015
2022-01-24,15375100.198435422
2022-01-25,14638274.20093691
2022-01-26,13595746.472589873
2022-01-27,13510990.72495115
2022-01-28,13399248.000811204
2022-01-29,12759764.65600661
2022-01-30,12314243.529776532
2022-01-31,11021772.074521268
2022-02-01,9661911.813232476
2022-02-02,8838991.197742753
2022-02-03,8006882.896906487
2022-02-04,7640457.914427878
2022-02-05,7356007.938737024
2022-02-06,7479581.87469193
2022-02-07,7893506.793591145
2022-02-08,8350927.517877751
2022-02-09,8870361.903882334
2022-02-10,9042299.098638255
2022-02-11,8718515.337230787
2022-02-12,8663044.156223325
2022-02-13,8503221.332010094
2022-02-14,8388093.131642553
2022-02-15,8768540.158995876
2022-02-16,9120689.133746345
2022-02-17,8951311.467123104
2022-02-18,8853649.181832613
2022-02-19,8839095.663272705
2022-02-20,8484781.314221239
2022-02-21,7912017.7728206655
2022-02-22,7510170.74275739
2022-02-23,7366212.115951905
2022-02-24,7117492.742159962
2022-02-25,6744691.656980169
2022-02-26,6436481.681085401
2022-02-27,6450251.16769424
2022-02-28,6505109.99571994
2022-03-01,6698769.406597556
2022-03-02,6813506.818000674
2022-03-03,6697695.862831121
2022-03-04,6230146.7423458705
2022-03-05,5774008.775314748
2022-03-06,6039190.681356383
2022-03-07,6353617.473576784
2022-03-08,6457130.403396536
2022-03-09,6198308.975711248
2022-03-10,5876811.688307516
2022-03-11,5511596.909952055
2022-03-12,5256686.891036499
2022-03-13,5306707.802060373
2022-03-14,5166866.644511274
2022-03-15,5030875.416544088
2022-03-16,4845900.146933934
2022-03-17,4135866.770194951
2022-03-18,3680527.5551007907
2022-03-19,3856844.082168003
2022-03-20,3921816.704468827
2022-03-21,3967873.709159508
2022-03-22,4079550.8917616843
2022-03-23,4014921.3774585864
2022-03-24,4322828.255645225
2022-03-25,4455986.445952323
2022-03-26,4731436.241396281
2022-03-27,5790322.943153315
2022-03-28,6817975.11807889
2022-03-29,7512451.506881605
2022-03-30,8405164.551637383
2022-03-31,8656651.673301714
2022-04-01,9173188.274642192
2022-04-02,9677091.668463295
2022-04-03,9977065.972861663
2022-04-04,10260113.883237462
2022-04-05,9918244.640626414
2022-04-06,9118886.560757304
2022-04-07,8483795.327391196
2022-04-08,8462742.275478723
2022-04-09,7981094.651496935
2022-04-10,7319934.421303505
2022-04-11,7142463.311151623
2022-04-12,6445464.852825535
2022-04-13,6127662.935360783
2022-04-14,5967711.591773593
2022-04-15,6076651.446135004
2022-04-16,6179027.803451819
2022-04-17,6567513.103231229
2022-04-18,6745913.1225555055
2022-04-19,6710565.8579827035
2022-04-20,6666234.843343692
2022-04-21,6909543.3564014705
2022-04-22,7337804.523643521
2022-04-23,7780721.262976048
2022-04-24,8148977.835566062
2022-04-25,8253546.718498887
2022-04-26,8357527.622118952
2022-04-27,7912139.924469182
2022-04-28,7109154.879195106
2022-04-29,6526637.357221788
2022-04-30,6493691.575345213
2022-05-01,5917039.842983234
2022-05-02,5336671.003808083
2022-05-03,4546299.639192207
2022-05-04,3287611.4592694375
2022-05-05,2788453.293780541
2022-05-06,2969679.8859584876
2022-05-07,3099280.6494380836
2022-05-08,3833467.4062353433
