Timestamp,Test_Data,Forecast,Test_Data BTC-USD,Test_Data forecast BTC-USD
211,10.166177259849043,10.037923584621193,26008.462890999992,22877.829686176825
212,10.169295624861245,10.037923584621193,26089.693359000015,22877.829686176825
213,10.169926212715104,10.038420735002877,26106.15039100002,22889.206235631027
214,10.230176105267082,10.038420735002877,27727.392578000006,22889.206235631027
215,10.214541815900267,10.043392238819704,27297.26562499999,23003.283344226722
216,10.163212670441037,10.044883689964752,25931.472656000005,23037.61721479119
217,10.158157856135471,10.03891788538456,25800.724609000023,22900.58844234727
218,10.16079284302365,10.038420735002877,25868.798828000003,22889.206235631027
219,10.164680608560541,10.03891788538456,25969.566405999987,22900.58844234727
220,10.158610896080662,10.03891788538456,25812.416015999985,22900.58844234727
221,10.157353594646553,10.03891788538456,25779.98242199999,22900.58844234727
222,10.156315580835258,10.039912186147925,25753.23632800002,22923.369838820083
223,10.175047686361117,10.039415035766242,26240.195313,22911.976309138725
224,10.162216536486378,10.041900787674656,25905.65429699999,22969.000642785217
225,10.161831350903993,10.039415035766242,25895.67773400001,22911.976309138725
226,10.159378083032973,10.03891788538456,25832.22656300001,22900.58844234727
227,10.133116201951104,10.03891788538456,25162.654297,22900.58844234727
228,10.159421329899054,10.033946381567732,25833.34375,22787.020614852827
229,10.174595182867272,10.039415035766242,26228.32421900001,22911.976309138725
230,10.186396017984002,10.041403637292973,26539.67382800002,22957.58443337034
231,10.188993259383937,10.041403637292973,26608.693358999983,22957.58443337034
232,10.18747334904391,10.040409336529608,26568.281249999993,22934.769034207304
233,10.186189274857261,10.041900787674656,26534.18749999998,22969.000642785217
234,10.194449786247013,10.041900787674656,26754.281249999993,22969.000642785217
235,10.21138088892782,10.041900787674656,27211.117188,22969.000642785217
236,10.208469410028481,10.042397938056338,27132.007812999982,22980.42252918396
237,10.187448942312175,10.042397938056338,26567.632812999982,22980.42252918396
238,10.187898092820102,10.040409336529608,26579.568358999994,22934.769034207304
239,10.187891405932195,10.042397938056338,26579.390624999996,22980.42252918396
240,10.17568127886164,10.04090648691129,26256.826172000012,22946.17389811776
241,10.177266439652604,10.042397938056338,26298.480469000006,22980.42252918396
242,10.174172870047572,10.041900787674656,26217.250000000007,22969.000642785217
243,10.179326652905106,10.04090648691129,26352.71679700002,22946.17389811776
244,10.204389859135322,10.041900787674656,27021.546875000022,22969.000642785217
245,10.20031718456038,10.042895088438021,26911.720703000017,22991.85009538967
246,10.202403142699614,10.042397938056338,26967.916016000003,22980.42252918396
247,10.23937926354209,10.042895088438021,27983.74999999999,22991.85009538967
248,10.223060117744495,10.043889389201386,27530.785156000016,23014.722278520905
249,10.219391800701302,10.043889389201386,27429.97851600001,23014.722278520905
250,10.23276951998112,10.043392238819704,27799.39453099999,23003.283344226722
251,10.218878857720593,10.042895088438021,27415.91210900001,22991.85009538967
252,10.238050741513481,10.043889389201386,27946.59765599999,23014.722278520905
253,10.238846306751547,10.043392238819704,27968.839843999987,23003.283344226722
254,10.237638878068497,10.043889389201386,27935.089844000013,23014.722278520905
255,10.224979490318026,10.043889389201386,27583.677733999994,23014.722278520905
256,10.217970484309902,10.043889389201386,27391.019530999987,23014.722278520905
257,10.198889263495364,10.042397938056338,26873.320313000007,22980.42252918396
258,10.194543881824908,10.041403637292973,26756.79882799999,22957.58443337034
259,10.198481887612811,10.04090648691129,26862.37500000002,22946.17389811776
260,10.198457020961774,10.042397938056338,26861.70703099998,22980.42252918396
261,10.209487781296158,10.041403637292973,27159.652344000016,22957.58443337034
262,10.2583421785961,10.042397938056338,28519.46679699998,22980.42252918396
263,10.254698779163343,10.044883689964752,28415.748047000012,23037.61721479119
264,10.25161805941367,10.043889389201386,28328.341797000012,23014.722278520905
265,10.265342290583787,10.044883689964752,28719.80664100001,23037.61721479119
266,10.298328059561703,10.045380840346434,29682.949218999995,23049.073222425886
267,10.306229359456824,10.050352344163262,29918.412108999975,23163.94708925888
268,10.308749189412092,10.045380840346434,29993.896484000004,23049.073222425886
269,10.406872594953755,10.045380840346434,33086.234375,23049.073222425886
270,10.431215346748903,10.05184379530831,33901.52734400001,23198.52076073106
271,10.448796347881148,10.054826697598406,34502.820313000004,23267.82299093979
272,10.438712529447361,10.054329547216723,34156.64843799998,23256.258258802598
273,10.431459360168779,10.053832396835041,33909.80078099999,23244.699274647515
274,10.436746875144886,10.051346644926626,34089.574219000024,23186.990473661168
275,10.449829357362928,10.054826697598406,34538.48046900003,23267.82299093979
276,10.448783101571923,10.052838096071675,34502.36328100002,23221.598538857303
277,10.453566040380862,10.05184379530831,34667.781250000015,23198.52076073106
278,10.475518915994495,10.05184379530831,35437.25390599998,23198.52076073106
279,10.461337272977723,10.054826697598406,34938.242188,23267.82299093979
280,10.455426066015464,10.051346644926626,34732.324219,23186.990473661168
281,10.465449024716202,10.052838096071675,35082.19531299998,23221.598538857303
282,10.46451250339209,10.053832396835041,35049.35546900003,23244.699274647515
283,10.464170516379584,10.05582099836177,35037.371094000024,23290.96971059506
284,10.475696921676048,10.052838096071675,35443.562500000015,23221.598538857303
285,10.481652446976534,10.05184379530831,35655.27734399998,23198.52076073106
286,10.510344686793989,10.053335246453358,36693.12499999998,23233.146035617563
287,10.527123032844324,10.053832396835041,37313.96875000003,23244.699274647515
288,10.522397350519183,10.053832396835041,37138.050780999976,23244.699274647515
289,10.520145607927086,10.05532384798009,37054.51953099997,23279.39347391738
290,10.505132070885653,10.054826697598406,36502.35546899998,23267.82299093979
291,10.47834771303901,10.053335246453358,35537.64062500003,23233.146035617563
292,10.542193912308688,10.048860893018214,37880.582031000005,23129.42494429442
293,10.495564156117707,10.053832396835041,36154.769530999976,23244.699274647515
294,10.507712903098133,10.050352344163262,36596.68359399999,23163.94708925888
295,10.507412818075638,10.053335246453358,36585.703124999985,23233.146035617563
296,10.529066209467143,10.05184379530831,37386.54687499999,23198.52076073106
297,10.531481543915467,10.053335246453358,37476.957031000005,23233.146035617563
298,10.486088922000189,10.054329547216723,35813.81249999999,23256.258258802598
299,10.530290311474705,10.049855193781578,37432.339844000024,23152.433986231077
300,10.526470312059296,10.05184379530831,37289.621093999995,23198.52076073106
301,10.537953192976223,10.05184379530831,37720.28124999998,23198.52076073106
302,10.53997953591844,10.05532384798009,37796.79296900003,23279.39347391738
303,10.531539286077402,10.05532384798009,37479.12109399997,23279.39347391738
304,10.525519109333521,10.05184379530831,37254.16796899998,23198.52076073106
305,10.540886422951262,10.052838096071675,37831.085938000026,23221.598538857303
306,10.541610597979746,10.054826697598406,37858.492187999975,23267.82299093979
307,10.537753408974696,10.05582099836177,37712.746094,23290.96971059506
308,10.563304139082696,10.054329547216723,38688.75000000003,23256.258258802598
309,10.583456582215083,10.05582099836177,39476.33203100001,23290.96971059506
310,10.596094352741906,10.05532384798009,39978.39062500001,23279.39347391738
311,10.644950919622513,10.05582099836177,41980.09765599996,23290.96971059506
312,10.693776154199542,10.056318148743454,44080.648438,23302.551703834088
313,10.68616563849623,10.054826697598406,43746.44531299997,23267.82299093979
314,10.675738478459364,10.054826697598406,43292.66406300002,23267.82299093979
315,10.695724161693935,10.054826697598406,44166.601563000004,23267.82299093979
316,10.685697812497887,10.05532384798009,43725.98437500004,23279.39347391738
317,10.68692550077002,10.05582099836177,43779.699219000024,23290.96971059506
318,10.627256854061411,10.05582099836177,41243.832031000034,23290.96971059506
319,10.632248532225733,10.052340945689993,41450.222656,23210.05678151271
320,10.666411281814458,10.051346644926626,42890.74218799999,23186.990473661168
321,10.669512742956194,10.054826697598406,43023.972655999976,23267.82299093979
