timestamp,Close,Volume,value,value_classification,log_Close,Log Close Diff
2023-11-12,37054.519531,11545715999,73,Greed,10.520145607927086,-0.002251742592097372
2023-11-13,36502.355469,19057712790,72,Greed,10.505132070885653,-0.015013537041433267
2023-11-14,35537.640625,23857403554,69,Greed,10.47834771303901,-0.026784357846642237
2023-11-15,37880.582031,27365821679,60,Greed,10.542193912308688,0.06384619926967794
2023-11-16,36154.769531,26007385366,70,Greed,10.495564156117707,-0.0466297561909812
2023-11-17,36596.683594,22445028430,63,Greed,10.507712903098133,0.012148746980425784
2023-11-18,36585.703125,11886022717,69,Greed,10.507412818075638,-0.00030008502249501134
2023-11-19,37386.546875,12915986553,66,Greed,10.529066209467143,0.021653391391504684
2023-11-20,37476.957031,20888209068,69,Greed,10.531481543915467,0.0024153344483242023
2023-11-21,35813.8125,25172163756,71,Greed,10.486088922000189,-0.04539262191527804
2023-11-22,37432.339844,24397247860,62,Greed,10.530290311474705,0.044201389474515906
2023-11-23,37289.621094,14214948217,66,Greed,10.526470312059296,-0.0038199994154091144
2023-11-24,37720.28125,22922957823,66,Greed,10.537953192976223,0.01148288091692784
2023-11-25,37796.792969,9099571165,73,Greed,10.53997953591844,0.0020263429422158197
2023-11-26,37479.121094,13744796068,73,Greed,10.531539286077402,-0.008440249841036973
2023-11-27,37254.167969,19002925720,66,Greed,10.525519109333521,-0.006020176743881223
2023-11-28,37831.085938,21696137014,68,Greed,10.540886422951262,0.015367313617741019
2023-11-29,37858.492188,20728546658,72,Greed,10.541610597979746,0.0007241750284840975
2023-11-30,37712.746094,18115982627,74,Greed,10.537753408974696,-0.0038571890050498325
2023-12-01,38688.75,23512784002,71,Greed,10.563304139082696,0.025550730107999797
2023-12-02,39476.332031,15534035612,74,Greed,10.583456582215083,0.020152443132387177
2023-12-03,39978.390625,15769696322,73,Greed,10.596094352741906,0.012637770526822578
2023-12-04,41980.097656,39856129827,74,Greed,10.644950919622513,0.04885656688060713
2023-12-05,44080.648438,36312154535,75,Greed,10.693776154199542,0.04882523457702881
2023-12-06,43746.445313,29909761586,72,Greed,10.68616563849623,-0.007610515703312615
2023-12-07,43292.664063,27635760671,72,Greed,10.675738478459364,-0.010427160036865502
2023-12-08,44166.601563,24421116687,72,Greed,10.695724161693935,0.019985683234571283
2023-12-09,43725.984375,17368210171,73,Greed,10.685697812497887,-0.010026349196047946
2023-12-10,43779.699219,13000481418,74,Greed,10.68692550077002,0.0012276882721327098
2023-12-11,41243.832031,40632672038,74,Greed,10.627256854061411,-0.05966864670860872
2023-12-12,41450.222656,24779520132,67,Greed,10.632248532225733,0.004991678164321556
2023-12-13,42890.742188,26797884674,65,Greed,10.666411281814458,0.03416274958872556
2023-12-14,43023.972656,25578530178,72,Greed,10.669512742956194,0.0031014611417354843
2023-12-15,41929.757813,19639442462,70,Greed,10.643751064164345,-0.025761678791848652
2023-12-16,42240.117188,14386729590,67,Greed,10.651125692713416,0.007374628549071005
2023-12-17,41364.664063,16678702876,73,Greed,10.630182270305195,-0.020943422408221224
2023-12-18,42623.539063,25224642008,65,Greed,10.660161939816627,0.02997966951143205
2023-12-19,42270.527344,23171001281,73,Greed,10.651845369092195,-0.008316570724431926
2023-12-20,43652.25,27868908174,74,Greed,10.684010106331032,0.03216473723883695
2023-12-21,43869.152344,22452766169,70,Greed,10.688966671976779,0.004956565645747091
2023-12-22,43997.902344,21028503216,74,Greed,10.691897237763957,0.0029305657871780966
2023-12-23,43739.542969,13507796558,70,Greed,10.686007845365014,-0.005889392398943372
2023-12-24,43016.117188,18830554085,71,Greed,10.66933014277444,-0.016677702590573773
2023-12-25,43613.140625,21115795370,73,Greed,10.68311377440979,0.013783631635350346
2023-12-26,42520.402344,30026850982,71,Greed,10.657739294875839,-0.025374479533951444
2023-12-27,43442.855469,25260941032,73,Greed,10.679201686080054,0.021462391204215336
2023-12-28,42627.855469,22992093014,73,Greed,10.660263202817129,-0.018938483262925132
2023-12-29,42099.402344,26000021055,65,Greed,10.647788823465195,-0.012474379351933962
2023-12-30,42156.902344,16013925945,68,Greed,10.649153706701869,0.0013648832366737196
2023-12-31,42265.1875,16397498810,67,Greed,10.651719035647995,0.0025653289461260442
2024-01-01,44167.332031,18426978443,65,Greed,10.69574070047966,0.04402166483166603
2024-01-02,44957.96875,39335274536,71,Greed,10.713483304498926,0.017742604019264974
2024-01-03,42848.175781,46342323118,70,Greed,10.665418350914337,-0.048064953584589176
2024-01-04,44179.921875,30448091210,68,Greed,10.696025708638457,0.030607357724120376
2024-01-05,44162.691406,32336029347,72,Greed,10.695635625787643,-0.00039008285081365557
2024-01-06,43989.195313,16092503468,70,Greed,10.691699321677161,-0.0039363041104820695
2024-01-07,43943.097656,19330573863,71,Greed,10.690650840859329,-0.0010484808178325977
2024-01-08,46970.503906,42746192015,71,Greed,10.75727510721557,0.06662426635624108
2024-01-09,46139.730469,39821290992,76,Extreme Greed,10.739429690119872,-0.01784541709569787
2024-01-10,46627.777344,50114613298,73,Greed,10.749951722871764,0.010522032751891786
2024-01-11,46368.585938,45833734549,76,Extreme Greed,10.744377481729662,-0.005574241142101144
2024-01-12,42853.167969,43332698900,71,Greed,10.665534852891719,-0.07884262883794335
2024-01-13,42842.382813,20601860469,64,Greed,10.66528314423337,-0.00025170865834844847
2024-01-14,41796.269531,17521429522,60,Greed,10.64056236886036,-0.02472077537301054
2024-01-15,42511.96875,22320220558,52,Neutral,10.657540932912761,0.01697856405240117
2024-01-16,43154.945313,24062872740,64,Greed,10.672552297430153,0.015011364517391712
2024-01-17,42742.652344,20851232595,60,Greed,10.662952584598555,-0.009599712831597884
2024-01-18,41262.058594,25218357242,63,Greed,10.627698678594385,-0.03525390600417033
2024-01-19,41618.40625,25752407154,51,Neutral,10.6362978063264,0.008599127732015432
2024-01-20,41665.585938,11586690904,52,Neutral,10.637430789791946,0.0011329834655455784
2024-01-21,41545.785156,9344043642,56,Greed,10.634551354849371,-0.002879434942574477
2024-01-22,39507.367188,31338708143,55,Greed,10.58424244458679,-0.05030891026258111
2024-01-23,39845.550781,29244553045,50,Neutral,10.592766028825782,0.008523584238991688
2024-01-24,40077.074219,22359526178,48,Neutral,10.59855973456628,0.0057937057404977566
2024-01-25,39933.808594,18491782013,52,Neutral,10.594978577276809,-0.0035811572894708377
2024-01-26,41816.871094,25598119893,49,Neutral,10.641055151771345,0.046076574494536615
2024-01-27,42120.054688,11422941934,55,Greed,10.648279264632635,0.0072241128612891
2024-01-28,42035.59375,16858971687,54,Neutral,10.646272008603455,-0.002007256029179061
2024-01-29,43288.246094,20668476578,55,Greed,10.675636424346145,0.02936441574268933
2024-01-30,42952.609375,23842814518,61,Greed,10.667852679350434,-0.007783744995711217
2024-01-31,42582.605469,24673628793,60,Greed,10.659201126547257,-0.008651552803176088
2024-02-01,43075.773438,21423953779,63,Greed,10.670716016847233,0.011514890299975988
2024-02-02,43185.859375,18603843039,63,Greed,10.673268391365871,0.00255237451863799
2024-02-03,42992.25,11169245236,60,Greed,10.66877514587372,-0.004493245492151132
2024-02-04,42583.582031,14802225490,60,Greed,10.659224059639104,-0.00955108623461598
2024-02-05,42658.667969,18715487317,60,Greed,10.660985767182483,0.0017617075433786766
2024-02-06,43084.671875,16798476726,64,Greed,10.670922571885322,0.009936804702839197
2024-02-07,44318.222656,21126587775,62,Greed,10.699151218089963,0.028228646204640384
2024-02-08,45301.566406,26154524080,66,Greed,10.721096889372198,0.02194567128223568
2024-02-09,47147.199219,39316770844,72,Greed,10.761029884791432,0.03993299541923356
2024-02-10,47771.277344,16398681570,74,Greed,10.774179845486426,0.013149960694994078
2024-02-11,48293.917969,19315867136,71,Greed,10.785060909744955,0.010881064258528639
2024-02-12,49958.222656,34511985805,70,Greed,10.818942388266425,0.0338814785214705
2024-02-13,49742.441406,35593051468,79,Extreme Greed,10.814613799506285,-0.004328588760140306
2024-02-14,51826.695313,39105608050,74,Greed,10.855660649031368,0.04104684952508286
2024-02-15,51938.554688,38564360533,72,Greed,10.857816658260456,0.002156009229087985
2024-02-16,52160.203125,28180567298,72,Greed,10.86207509086059,0.004258432600133588
2024-02-17,51662.996094,20009091006,76,Extreme Greed,10.852497061367641,-0.009578029492947948
2024-02-18,52122.546875,17595377311,72,Greed,10.861352895643515,0.008855834275873775
2024-02-19,51779.144531,21362184346,75,Greed,10.85474273194464,-0.006610163698875127
